train_loss,train_acc_step,epoch,step,val_loss,val_acc_epoch,val_f1_epoch,val_auroc_epoch,train_acc_epoch,test_loss,test_acc_epoch,test_f1_epoch,test_auroc_epoch
5.155547487853815e-05,0.0,0,49,,,,,,,,,
1.0889469817577776e-06,0.0,0,99,,,,,,,,,
,,0,124,2.2673667169848123e-05,0.0,0.0,0.8265550136566162,,,,,
,,0,124,,,,,0.0,,,,
1.3088860040283633e-05,0.0,1,149,,,,,,,,,
4.574553800299927e-06,0.0,1,199,,,,,,,,,
1.831551893094465e-05,0.0,1,249,,,,,,,,,
,,1,249,1.5236508804256954e-05,0.0,0.0,0.8265162706375122,,,,,
,,1,249,,,,,0.0,,,,
2.022671485741599e-05,0.0,2,299,,,,,,,,,
5.719350185533381e-07,0.0,2,349,,,,,,,,,
,,2,374,1.1495146567045832e-05,0.0,0.0,0.8273662328720093,,,,,
,,2,374,,,,,0.0,,,,
1.8833977874904543e-05,0.0,3,399,,,,,,,,,
4.6740648593561735e-06,0.0,3,449,,,,,,,,,
3.316214873420791e-07,0.0,3,499,,,,,,,,,
,,3,499,8.497470117924514e-06,0.0,0.0,0.8280437588691711,,,,,
,,3,499,,,,,0.0,,,,
6.03875373812157e-06,0.0,4,549,,,,,,,,,
8.520927986038361e-07,0.0,4,599,,,,,,,,,
,,4,624,6.396929418288281e-06,0.0,0.0,0.828313946723938,,,,,
,,4,624,,,,,0.0,,,,
1.5206015739123527e-06,0.0,5,649,,,,,,,,,
1.6310985469439527e-06,0.0,5,699,,,,,,,,,
2.451950033904319e-06,0.0,5,749,,,,,,,,,
,,5,749,5.140620219333668e-06,0.0,0.0,0.8284881114959717,,,,,
,,5,749,,,,,0.0,,,,
2.7652376804379056e-06,0.0,6,799,,,,,,,,,
1.1366446868817104e-06,0.0,6,849,,,,,,,,,
,,6,874,4.3292192066285175e-06,0.0,0.0,0.828513503074646,,,,,
,,6,874,,,,,0.0,,,,
3.296200911318087e-06,0.0,7,899,,,,,,,,,
4.422038857902568e-07,0.0,7,949,,,,,,,,,
9.536689775326087e-06,0.0,7,999,,,,,,,,,
,,7,999,3.6700683759645346e-06,0.0,0.0,0.8284841775894165,,,,,
,,7,999,,,,,0.0,,,,
3.8539996462367864e-07,0.0,8,1049,,,,,,,,,
3.628203124005039e-07,0.0,8,1099,,,,,,,,,
,,8,1124,3.224045853081834e-06,0.0,0.0,0.8284316658973694,,,,,
,,8,1124,,,,,0.0,,,,
3.571691096684248e-07,0.0,9,1149,,,,,,,,,
4.839697126000222e-07,0.0,9,1199,,,,,,,,,
1.7169767724695896e-06,0.0,9,1249,,,,,,,,,
,,9,1249,2.864564269534621e-06,0.0,0.0,0.8283414840698242,,,,,
,,9,1249,,,,,0.0,,,,
1.775072447766111e-06,0.0,10,1299,,,,,,,,,
1.5367449543772114e-07,0.0,10,1349,,,,,,,,,
,,10,1374,2.5965724290536054e-06,0.0,0.0,0.8282012939453125,,,,,
,,10,1374,,,,,0.0,,,,
,,11,1375,,,,,,2.0638219242576797e-06,0.0,0.0,0.8417252898216248
