train_loss,train_acc_step,epoch,step,val_loss,val_acc_epoch,val_f1_epoch,val_auroc_epoch,train_acc_epoch,test_loss,test_acc_epoch,test_f1_epoch,test_auroc_epoch
1.707351628681201e-05,0.0,0,49,,,,,,,,,
3.361698977153023e-05,0.0,0,99,,,,,,,,,
,,0,124,1.2656958730962933e-05,0.0,0.0,0.8393890857696533,,,,,
,,0,124,,,,,0.0,,,,
3.1421801870457643e-06,0.0,1,149,,,,,,,,,
5.296069746527084e-06,0.0,1,199,,,,,,,,,
4.816222442424669e-07,0.0,1,249,,,,,,,,,
,,1,249,8.533794829553368e-06,0.0,0.0,0.8396165370941162,,,,,
,,1,249,,,,,0.0,,,,
2.1726657883918277e-06,0.0,2,299,,,,,,,,,
3.2384962213254167e-06,0.0,2,349,,,,,,,,,
,,2,374,6.344751555628967e-06,0.0,0.0,0.8392488956451416,,,,,
,,2,374,,,,,0.0,,,,
5.2124008941048935e-06,0.0,3,399,,,,,,,,,
9.990030665044545e-07,0.0,3,449,,,,,,,,,
1.218151289358737e-07,0.0,3,499,,,,,,,,,
,,3,499,4.995747140478605e-06,0.0,0.0,0.8384976983070374,,,,,
,,3,499,,,,,0.0,,,,
9.116238079495643e-06,0.0,4,549,,,,,,,,,
8.625523857498614e-07,0.0,4,599,,,,,,,,,
,,4,624,3.999284255095479e-06,0.0,0.0,0.8376917839050293,,,,,
,,4,624,,,,,0.0,,,,
2.3873905851908935e-06,0.0,5,649,,,,,,,,,
3.2844258419884488e-06,0.0,5,699,,,,,,,,,
2.7826610364103634e-08,0.0,5,749,,,,,,,,,
,,5,749,3.3547120868582234e-06,0.0,0.0,0.8369153738021851,,,,,
,,5,749,,,,,0.0,,,,
3.621317897978807e-06,0.0,6,799,,,,,,,,,
3.36700840145605e-06,0.0,6,849,,,,,,,,,
,,6,874,2.8598161715518975e-06,0.0,0.0,0.836185097694397,,,,,
,,6,874,,,,,0.0,,,,
7.80020172224672e-07,0.0,7,899,,,,,,,,,
2.8830300388322506e-06,0.0,7,949,,,,,,,,,
7.62376080931159e-08,0.0,7,999,,,,,,,,,
,,7,999,2.5320805803968897e-06,0.0,0.0,0.8354622721672058,,,,,
,,7,999,,,,,0.0,,,,
1.2275591831714388e-06,0.0,8,1049,,,,,,,,,
2.3759517660769457e-06,0.0,8,1099,,,,,,,,,
,,8,1124,2.292964227064152e-06,0.0,0.0,0.8347496390342712,,,,,
,,8,1124,,,,,0.0,,,,
3.4165978757894716e-06,0.0,9,1149,,,,,,,,,
6.789261304781716e-07,0.0,9,1199,,,,,,,,,
6.90187606586288e-07,0.0,9,1249,,,,,,,,,
,,9,1249,2.064542840512958e-06,0.0,0.0,0.8340908288955688,,,,,
,,9,1249,,,,,0.0,,,,
1.0319691572188245e-06,0.0,10,1299,,,,,,,,,
1.2069095816716366e-07,0.0,10,1349,,,,,,,,,
,,10,1374,1.8303707361062571e-06,0.0,0.0,0.8334492444992065,,,,,
,,10,1374,,,,,0.0,,,,
8.15079371067853e-07,0.0,11,1399,,,,,,,,,
4.3445953806522647e-07,0.0,11,1449,,,,,,,,,
6.071072010541602e-07,0.0,11,1499,,,,,,,,,
,,11,1499,1.6614760673964436e-06,0.0,0.0,0.8328816890716553,,,,,
,,11,1499,,,,,0.0,,,,
1.263116929762823e-06,0.0,12,1549,,,,,,,,,
1.995626426174579e-07,0.0,12,1599,,,,,,,,,
,,12,1624,1.5431789290070577e-06,0.0,0.0,0.832292914390564,,,,,
,,12,1624,,,,,0.0,,,,
1.8468409704395061e-06,0.0,13,1649,,,,,,,,,
7.414804419835333e-07,0.0,13,1699,,,,,,,,,
1.440974888900832e-08,0.0,13,1749,,,,,,,,,
,,13,1749,1.4204943626220823e-06,0.0,0.0,0.8317143321037292,,,,,
,,13,1749,,,,,0.0,,,,
5.695284106198239e-07,0.0,14,1799,,,,,,,,,
3.771678171007157e-07,0.0,14,1849,,,,,,,,,
,,14,1874,1.3137299916503708e-06,0.0,0.0,0.8311569690704346,,,,,
,,14,1874,,,,,0.0,,,,
1.955533671420878e-06,0.0,15,1899,,,,,,,,,
2.9856197460314225e-06,0.0,15,1949,,,,,,,,,
