train_loss,train_acc_step,epoch,step,val_loss,val_acc_epoch,val_f1_epoch,val_auroc_epoch,train_acc_epoch,test_loss,test_acc_epoch,test_f1_epoch,test_auroc_epoch
0.00011050105860871119,0.0,0,49,,,,,,,,,
6.535896688519266e-05,0.0,0,99,,,,,,,,,
,,0,124,1.7358800278542564e-05,0.0,0.0,0.8454099297523499,,,,,
,,0,124,,,,,0.0,,,,
6.701571874125272e-06,0.0,1,149,,,,,,,,,
3.720068187839642e-06,0.0,1,199,,,,,,,,,
-0.0,0.0,1,249,,,,,,,,,
,,1,249,1.0496100544186701e-05,0.0,0.0,0.8391003608703613,,,,,
,,1,249,,,,,0.0,,,,
1.3708149723916094e-05,0.0,2,299,,,,,,,,,
2.3219748953894348e-05,0.0,2,349,,,,,,,,,
,,2,374,6.591447921385924e-06,0.0,0.0,0.8352245092391968,,,,,
,,2,374,,,,,0.0,,,,
6.892583461739967e-06,0.0,3,399,,,,,,,,,
2.392601794950787e-06,0.0,3,449,,,,,,,,,
2.2635881061536946e-06,0.0,3,499,,,,,,,,,
,,3,499,4.667826599965984e-06,0.0,0.0,0.8328600525856018,,,,,
,,3,499,,,,,0.0,,,,
4.356593153598833e-06,0.0,4,549,,,,,,,,,
2.311874775256048e-06,0.0,4,599,,,,,,,,,
,,4,624,3.4159066465192227e-06,0.0,0.0,0.8307129740715027,,,,,
,,4,624,,,,,0.0,,,,
2.6372364180528283e-06,0.0,5,649,,,,,,,,,
4.267896752395871e-06,0.0,5,699,,,,,,,,,
1.55442974407021e-06,0.0,5,749,,,,,,,,,
,,5,749,2.696884092361355e-06,0.0,0.0,0.8291512727737427,,,,,
,,5,749,,,,,0.0,,,,
2.043703908795332e-06,0.0,6,799,,,,,,,,,
2.966748636078843e-06,0.0,6,849,,,,,,,,,
,,6,874,2.161484834902464e-06,0.0,0.0,0.8278697729110718,,,,,
,,6,874,,,,,0.0,,,,
6.554600938626303e-06,0.0,7,899,,,,,,,,,
1.993193835552655e-06,0.0,7,949,,,,,,,,,
2.9271705618050347e-07,0.0,7,999,,,,,,,,,
,,7,999,1.7040197930625687e-06,0.0,0.0,0.826658308506012,,,,,
,,7,999,,,,,0.0,,,,
4.586226120137947e-06,0.0,8,1049,,,,,,,,,
2.4609797069485876e-06,0.0,8,1099,,,,,,,,,
,,8,1124,1.4582446928310778e-06,0.0,0.0,0.8257005214691162,,,,,
,,8,1124,,,,,0.0,,,,
2.1997630829539677e-06,0.0,9,1149,,,,,,,,,
6.91153156038788e-07,0.0,9,1199,,,,,,,,,
5.043155151168195e-07,0.0,9,1249,,,,,,,,,
,,9,1249,1.2562753725095335e-06,0.0,0.0,0.8247841596603394,,,,,
,,9,1249,,,,,0.0,,,,
2.8039502999856917e-07,0.0,10,1299,,,,,,,,,
3.6487324382268003e-07,0.0,10,1349,,,,,,,,,
,,10,1374,1.0897815405383406e-06,0.0,0.0,0.8238996267318726,,,,,
,,10,1374,,,,,0.0,,,,
,,11,1375,,,,,,1.6164826707370996e-06,0.0,0.0,0.8383201360702515
