train_loss,train_acc_step,epoch,step,val_loss,val_acc_epoch,val_f1_epoch,val_auroc_epoch,train_acc_epoch,test_loss,test_acc_epoch,test_f1_epoch,test_auroc_epoch
1.4995252133444373e-05,0.0,0,49,,,,,,,,,
8.747313000765843e-05,0.0,0,99,,,,,,,,,
,,0,124,1.3898822565747966e-05,0.0,0.0,0.8181241750717163,,,,,
,,0,124,,,,,0.0,,,,
1.2683952913767822e-05,0.0,1,149,,,,,,,,,
8.970399623926599e-06,0.0,1,199,,,,,,,,,
8.122663015183255e-05,0.0,1,249,,,,,,,,,
,,1,249,1.1340118838852826e-05,0.0,0.0,0.8150917887687683,,,,,
,,1,249,,,,,0.0,,,,
9.633977265640229e-06,0.0,2,299,,,,,,,,,
5.742339149337532e-05,0.0,2,349,,,,,,,,,
,,2,374,1.1157682905630689e-05,0.0,0.0,0.8134291172027588,,,,,
,,2,374,,,,,0.0,,,,
2.1562204386058555e-05,0.0,3,399,,,,,,,,,
2.3437770418637305e-06,0.0,3,449,,,,,,,,,
-0.0,0.0,3,499,,,,,,,,,
,,3,499,1.0393953624237628e-05,0.0,0.0,0.8121269941329956,,,,,
,,3,499,,,,,0.0,,,,
6.884911882762619e-06,0.0,4,549,,,,,,,,,
1.0837337766172028e-05,0.0,4,599,,,,,,,,,
,,4,624,1.2230030863875378e-05,0.0,0.0,0.8110076189041138,,,,,
,,4,624,,,,,0.0,,,,
1.4503952826756553e-05,0.0,5,649,,,,,,,,,
4.009674978432247e-05,0.0,5,699,,,,,,,,,
5.822910106540028e-05,0.0,5,749,,,,,,,,,
,,5,749,1.3345774546734937e-05,0.0,0.0,0.8099483847618103,,,,,
,,5,749,,,,,0.0,,,,
1.8162237353913908e-05,0.0,6,799,,,,,,,,,
2.4805855663459545e-05,0.0,6,849,,,,,,,,,
,,6,874,1.3198053978415558e-05,0.0,0.0,0.8085900545120239,,,,,
,,6,874,,,,,0.0,,,,
1.3852452073618776e-05,0.0,7,899,,,,,,,,,
6.066485375218738e-07,0.0,7,949,,,,,,,,,
1.2519322628310665e-06,0.0,7,999,,,,,,,,,
,,7,999,1.2976731632019734e-05,0.0,0.0,0.8071845173835754,,,,,
,,7,999,,,,,0.0,,,,
1.4500524280258815e-05,0.0,8,1049,,,,,,,,,
1.0882135986773486e-05,0.0,8,1099,,,,,,,,,
,,8,1124,1.2593983371430746e-05,0.0,0.0,0.8058507442474365,,,,,
,,8,1124,,,,,0.0,,,,
1.34323723980142e-05,0.0,9,1149,,,,,,,,,
1.4353307414047732e-05,0.0,9,1199,,,,,,,,,
5.1642584934604196e-05,0.0,9,1249,,,,,,,,,
,,9,1249,1.2629445576373743e-05,0.0,0.0,0.8048968315124512,,,,,
,,9,1249,,,,,0.0,,,,
5.585001538418289e-06,0.0,10,1299,,,,,,,,,
1.6823013761364635e-05,0.0,10,1349,,,,,,,,,
,,10,1374,1.2338763796428006e-05,0.0,0.0,0.8038963079452515,,,,,
,,10,1374,,,,,0.0,,,,
,,11,1375,,,,,,1.7470195342378287e-05,0.0,0.0,0.8119630813598633
