train_loss,train_acc_step,epoch,step,val_loss,val_acc_epoch,val_f1_epoch,val_auroc_epoch,train_acc_epoch,test_loss,test_acc_epoch,test_f1_epoch,test_auroc_epoch
0.00012770039407278402,0.0,0,49,,,,,,,,,
3.2214378067516814e-05,0.0,0,99,,,,,,,,,
,,0,124,0.00020985383339413178,0.0,0.0,0.8254136443138123,,,,,
,,0,124,,,,,0.0,,,,
6.815352554148732e-05,0.0,1,149,,,,,,,,,
2.2619938968534203e-05,0.0,1,199,,,,,,,,,
1.714160747927034e-05,0.0,1,249,,,,,,,,,
,,1,249,8.330369286418874e-05,0.0,0.0,0.823457658290863,,,,,
,,1,249,,,,,0.0,,,,
1.597878231658852e-05,0.0,2,299,,,,,,,,,
3.850185607528865e-06,0.0,2,349,,,,,,,,,
,,2,374,4.7418317806925246e-05,0.0,0.0,0.8226922750473022,,,,,
,,2,374,,,,,0.0,,,,
7.552213990495307e-07,0.0,3,399,,,,,,,,,
2.1119899532062963e-06,0.0,3,449,,,,,,,,,
1.3282954208975012e-06,0.0,3,499,,,,,,,,,
,,3,499,3.419469875145297e-05,0.0,0.0,0.822114884853363,,,,,
,,3,499,,,,,0.0,,,,
8.63021720145626e-07,0.0,4,549,,,,,,,,,
7.764166592646208e-06,0.0,4,599,,,,,,,,,
,,4,624,2.534519757034802e-05,0.0,0.0,0.8215430378913879,,,,,
,,4,624,,,,,0.0,,,,
8.917956682552906e-06,0.0,5,649,,,,,,,,,
2.1677388159931737e-05,0.0,5,699,,,,,,,,,
7.4851417237543705e-06,0.0,5,749,,,,,,,,,
,,5,749,2.0242378223855674e-05,0.0,0.0,0.8211371898651123,,,,,
,,5,749,,,,,0.0,,,,
1.996070304953908e-06,0.0,6,799,,,,,,,,,
5.344151817798174e-06,0.0,6,849,,,,,,,,,
,,6,874,1.655706586611413e-05,0.0,0.0,0.820746123790741,,,,,
,,6,874,,,,,0.0,,,,
8.022509225862905e-06,0.0,7,899,,,,,,,,,
6.4362814324862106e-06,0.0,7,949,,,,,,,,,
-0.0,0.0,7,999,,,,,,,,,
,,7,999,1.3719786995384295e-05,0.0,0.0,0.8203855752944946,,,,,
,,7,999,,,,,0.0,,,,
5.02477306503295e-07,0.0,8,1049,,,,,,,,,
1.7430844369774377e-06,0.0,8,1099,,,,,,,,,
,,8,1124,1.1844145617102998e-05,0.0,0.0,0.8200576305389404,,,,,
,,8,1124,,,,,0.0,,,,
4.964986561661121e-06,0.0,9,1149,,,,,,,,,
1.3418530046579108e-06,0.0,9,1199,,,,,,,,,
1.1885313531664527e-07,0.0,9,1249,,,,,,,,,
,,9,1249,1.0332261757026499e-05,0.0,0.0,0.8197274804115295,,,,,
,,9,1249,,,,,0.0,,,,
9.434158873889209e-07,0.0,10,1299,,,,,,,,,
2.12067373365237e-06,0.0,10,1349,,,,,,,,,
,,10,1374,9.089452373872366e-06,0.0,0.0,0.8194241523742676,,,,,
,,10,1374,,,,,0.0,,,,
,,11,1375,,,,,,6.57700255637166e-06,0.0,0.0,0.8290383219718933
